x-axis,1,2
second,Volt,Volt
-10.000000E+00,,
-9.992188E+00,,
-9.984375E+00,,
-9.976563E+00,,
-9.968750E+00,,
-9.960938E+00,,
-9.953125E+00,,
-9.945313E+00,,
-9.937500E+00,,
-9.929688E+00,,
-9.921875E+00,,
-9.914063E+00,,
-9.906250E+00,,
-9.898438E+00,,
-9.890625E+00,,
-9.882813E+00,,
-9.875000E+00,,
-9.867188E+00,,
-9.859375E+00,,
-9.851563E+00,,
-9.843750E+00,,
-9.835938E+00,,
-9.828125E+00,,
-9.820313E+00,,
-9.812500E+00,,
-9.804688E+00,,
-9.796875E+00,,
-9.789063E+00,,
-9.781250E+00,,
-9.773438E+00,,
-9.765625E+00,,
-9.757813E+00,,
-9.750000E+00,,
-9.742188E+00,,
-9.734375E+00,,
-9.726563E+00,,
-9.718750E+00,,
-9.710938E+00,,
-9.703125E+00,,
-9.695313E+00,,
-9.687500E+00,,
-9.679688E+00,,
-9.671875E+00,,
-9.664063E+00,,
-9.656250E+00,,
-9.648438E+00,,
-9.640625E+00,,
-9.632813E+00,,
-9.625000E+00,,
-9.617188E+00,,
-9.609375E+00,,
-9.601563E+00,,
-9.593750E+00,,
-9.585938E+00,,
-9.578125E+00,,
-9.570313E+00,,
-9.562500E+00,,
-9.554688E+00,,
-9.546875E+00,,
-9.539063E+00,,
-9.531250E+00,,
-9.523438E+00,,
-9.515625E+00,,
-9.507813E+00,,
-9.500000E+00,,
-9.492188E+00,,
-9.484375E+00,,
-9.476563E+00,,
-9.468750E+00,,
-9.460938E+00,,
-9.453125E+00,,
-9.445313E+00,,
-9.437500E+00,,
-9.429688E+00,,
-9.421875E+00,,
-9.414063E+00,,
-9.406250E+00,,
-9.398438E+00,,
-9.390625E+00,,
-9.382813E+00,,
-9.375000E+00,,
-9.367188E+00,,
-9.359375E+00,,
-9.351563E+00,,
-9.343750E+00,,
-9.335938E+00,,
-9.328125E+00,,
-9.320313E+00,,
-9.312500E+00,,
-9.304688E+00,,
-9.296875E+00,,
-9.289063E+00,,
-9.281250E+00,,
-9.273438E+00,,
-9.265625E+00,,
-9.257813E+00,,
-9.250000E+00,,
-9.242188E+00,,
-9.234375E+00,,
-9.226563E+00,,
-9.218750E+00,,
-9.210938E+00,,
-9.203125E+00,,
-9.195313E+00,,
-9.187500E+00,,
-9.179688E+00,,
-9.171875E+00,,
-9.164063E+00,,
-9.156250E+00,,
-9.148438E+00,,
-9.140625E+00,,
-9.132813E+00,,
-9.125000E+00,,
-9.117188E+00,,
-9.109375E+00,,
-9.101563E+00,,
